Name,Token,Type,Status,ICO start,ICO end,Raised,Price,Bonus,Bounty,MVP/Prototype,Platform,Accepting,Minimum investment,Soft cap ,Hard cap ,Country,Whitelist/KYC,Restricted areas,Rate (Overall),Benchy Rating,Benchy Weight,Expert Team,Expert Vision,Expert Product,Weight of Experts,Number of Experts,Expert 1 Team,Expert 1 Vision,Expert 1 Product,Expert 1 Weight,Expert 2 Team,Expert 2 Vision,Expert 2 Product,Expert 2 Weight,Expert 3 Team,Expert 3 Vision,Expert 3 Product,Expert 3 Weight,Expert 4 Team,Expert 4 Vision,Expert 4 Product,Expert 4 Weight,Expert 5 Team,Expert 5 Vision,Expert 5 Product,Expert 5 Weight,Expert 6 Team,Expert 6 Vision,Expert 6 Product,Expert 6 Weight,Expert 7 Team,Expert 7 Vision,Expert 7 Product,Expert 7 Weight,Expert 8 Team,Expert 8 Vision,Expert 9 Product,Expert 9 Weight,Expert 10 Team,Expert 10 Vision,Expert 10 Product,Expert 10 Weight,Expert 11 Team,Expert 11 Vision,Expert 11 Product,Expert 11 Weight,Expert 12 Team,Expert 12 Vision,Expert 12 Product,Expert 12 Weight,Expert 13 Team,Expert 13 Vision,Expert 13 Product,Expert 13 Weight,Expert 14 Team,Expert 14 Vision,Expert 14 Product,Expert 14 Weight,Expert 15 Team,Expert 15 Vision,Expert 15 Product,Expert 15 Weight,Expert 16 Team,Expert 16 Vision,Expert 16 Product,Expert 16 Weight,Expert 17 Team,Expert 17 Vision,Expert 17 Product,Expert 17 Weight,Expert 18 Team,Expert 18 Vision,Expert 19 Product,Expert 19 Weight,Expert 20 Team,Expert 20 Vision,Expert 20 Product,Expert 20 Weight
Ammbr,AMMBR,Utility,14 days 3 hours left,1/8/2019,3/8/2019,N/A,1 AMMBR = 0.0004 ETH,Available,,,Ethereum,ETH,,"15,000 ETH",,Singapore,,,3.3,3.3,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammeris,AMRS,Utility,Ended,12/1/2018,12/31/2018,N/A,,,,,,,,,,Cayman Islands,,"China, Singapore, USA",3.9,3.9,61%,4.3,3.6,3.7,39%,2,4,5,3,,,5,,0.27,3,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMO Coin,AMO,Utility,Trading,7/14/2018,7/21/2018,N/A,,,,,,,,,,Singapore,,China,4.4,4.6,29%,4.4,4.3,4.4,71%,7,4,4,5,,4,4,5,5,4,4,,4,,4,5,5,,5,,0.12,4,,,5,,,,0.07,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amon,AMN,Utility,Ended,3/4/2018,4/4/2018,"$1,332,600",,,,,,,,,,Estonia,,"USA, China",4.1,4,15%,4.4,4.2,3.9,85%,25,5,5,5,,4,3,5,5,5,5,5,5,3,3,5,5,3,5,5,5,5,4,,4,,4,5,1,,4,,4,4,4,,4,,5,3,0.06,,1,,0.03,5,,,5,,,2,0.05,,4,,0.05,4,,,0.02,,,,0.02,,,,0.02,,,,0.02
Amor,Amor,Utility,Ended,12/2/2017,1/2/2018,N/A,,,,,,,,,,,,,1.8,1.8,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amorito,AMO,Utility,Trading,3/1/2018,3/22/2018,N/A,,,,,,,,,,Romania,,"USA, China, Singapore",2.4,2.4,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amos,AMOS,SecuritySTO,7 days 15 hours left,12/1/2018,3/1/2019,N/A,1 AMOS = 0.00005 ETH,,,,Ethereum,ETH,,,"100,000 ETH",Taiwan,,"USA, Singapore",2.6,2.9,79%,1,2,2,21%,1,1,,2,,,2,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPLE! Coin,ACO,Utility,Trading,12/15/2017,1/15/2018,N/A,,,,,,,,,,Japan,,,3.3,2.9,69%,5,4.5,3,31%,2,5,5,4,,,5,,0.16,4,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amplify,AMPX,Utility,Ended,10/1/2018,11/15/2018,"$5,000,000",,,,,,,,,,British Virgin Islands,,,2.8,3,71%,2,3,2,29%,1,2,,3,,,2,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amulet,AMU,Utility,128 days 14 hours left,2/1/2019,6/30/2019,N/A,1 AMU = 0.5 USD,,,,Ethereum,,,"600,000 USD","5,000,000 USD",Antigua and Barbuda,,"USA, North Korea, Iran",2.3,2.3,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anacoin,ANAT,Utility,Ended,11/20/2017,12/4/2017,N/A,,,,,,,,,,UK,,,3.2,3.2,47%,3.4,3.3,2.7,53%,8,4,3,3,,4,4,1,4,5,4,,5,,1,3,3,,5,,0.05,1,,,4,,,5,0.05,,,,0.04,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andra Capital,SVC,SecuritySTO,Unknown,,,N/A,1 SVC = 1 USD,,,,Ethereum,,"1,000 USD",,,USA,,,1.7,1.7,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel Token,Angel Token,Utility,Ended,11/27/2017,12/19/2017,"$699,809",,,,,,,,,,,,,2.4,2.6,74%,1,2,2,26%,1,1,,2,,,2,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angenium,ANG,SecuritySTO,Unknown,,,N/A,1 ANG = 1 USD,Available,,,Ethereum,ETH,,"18,500,000 USD","90,000,000 USD",Estonia,,None,2.6,2.6,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AngryToken,ANG,Utility,9 days 14 hours left,10/10/2018,3/3/2019,N/A,,,Available,,Ethereum,ETH,0.1 ETH,"3,000,000 USD","104,000,000",USA,,None,3.5,3.5,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANK,RANK,Utility,Ended,1/1/2018,2/15/2018,N/A,,,,,,,,,,Singapore,,,1.3,1.3,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankorus,ANK,Utility,Ended,11/25/2017,12/25/2017,N/A,,,,,,,,,,UK,,,2.8,2.8,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankr,,Utility,Unknown,,,N/A,,,,,Ethereum,,,,,,,,1.5,1.5,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna,ANNA,Utility,Ended,10/10/2017,12/1/2017,N/A,,,,,,,,,,France,,,1.3,1.3,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnonHotels,PRIV,Utility,Ended,11/22/2017,12/6/2017,N/A,,,,,,,,,,Poland,,,2.5,2.3,55%,2.5,3.3,2.2,45%,5,2,2,3,,3,1,,5,3,2,,1,,,2,0.16,,1,,0.06,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anonymous Service Chain,AST Token,Utility,Unknown,,,N/A,1 AST Token = 0.00005 ETH,,,,Ethereum,ETH,,"4,999 ETH",,China,,,1.7,1.6,87%,2,2,2,13%,1,2,,2,,,2,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anryze,RYZ,Utility,Ended,9/12/2017,10/12/2017,"$1,600,000",,,,,,,,,,Russia,,,3.2,2.9,74%,4.4,4.4,3.8,26%,2,4,5,4,,,5,,0.16,5,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTAVIRA,ARMT,Utility,Ended,6/16/2018,7/16/2018,N/A,,,,,,,,,,Monaco,,,2.6,2.6,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti Derivative,ADVT,Utility,Ended,9/15/2018,10/15/2018,N/A,,,,,,,,,,Seychelles,,,2.8,2.8,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTIMASS ICO,ANTI,Utility,Trading,2/17/2018,3/31/2018,"$1,250,000",,,,,,,,,,USA,,No,1.8,1.8,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AntiqMall,AMT,Utility,Unknown,,,N/A,1 AMT = 0.45 USD,Available,,,Ethereum,"ETH, BTC",,,"6,000 ETH",Russia,,,2.8,2.7,82%,3,3,3,18%,1,3,,3,,,3,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anything App,ANY,Utility,Unknown,,,N/A,1 ANY = 0.04 USD,Available,Available,,Ethereum,ETH,10 USD,,"6,400,000 USD",Netherlands,,"Iran, Iraq, Cuba, Syria, Sudan North, Crimea, North Korea, Seychelles, Latvia, USA.",4,3.9,18%,4.2,4.2,3.8,82%,15,3,4,4,,5,4,4,4,4,4,5,4,5,5,4,4,,4,,5,4,4,,2,,5,4,5,,4,,5,5,,,2,,,4,0.06,,5,,0.06,4,,,5,,,,0.05,,,,0.04,,,,0.02,,,,0.04,,,,,,,,
Aphelion,APH,Utility,Ended,11/15/2017,12/7/2017,"$7,000,000",,,,,,,,,,Saint Kitts and Nevis,,,3,3,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APIS,APIS,Utility,Trading,3/4/2018,4/3/2018,N/A,,,,,,,,,,Singapore,,"USA, China",3.5,3.7,82%,3,2,3,18%,1,3,,2,,,3,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APIS Beechain,APIS,Utility,Trading,5/15/2018,6/15/2018,N/A,,,,,,,,,,Romania,,,2.6,2.6,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apis Token,API,Utility,Unknown,,,N/A,1 API = 2 USD,,,,Stellar,"ETH,BTC",,,"50,000,000 USD",USA,,,2,2,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apla,APL,Utility,155 days 17 hours left,11/1/2018,7/27/2019,N/A,1 APL = 5 EUR,,,,Own,"BTC, ETH, Fiat",,"28,000,000 USD","280,000,000 USD",Luxembourg,,USA,3.3,3.3,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APO Finance,APO,Utility,Ended,4/25/2018,5/23/2018,N/A,,,,,,,,,,USA,,,3.3,3.3,82%,3,4,3,18%,1,3,,4,,,3,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apollo Currency,Apollo,Payment,Ended,3/30/2018,5/28/2018,N/A,,,,,,,,,,,,,2.5,2.7,71%,2,2,2,29%,1,2,,2,,,2,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apollo DAE,DAE,Utility,Unknown,,,N/A,,,,,Ethereum,"ETH, BTC, LTC",,,"50,000,000",USA,,,1.8,1.6,79%,3,2,2,21%,1,3,,2,,,2,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apollo Septem,APO,Utility,Ended,5/1/2018,10/25/2018,N/A,,,,,,,,,,Romania,,"USA, China",3.5,3.5,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apollo18,A18,Utility,Unknown,,,N/A,1 A18 = 0.9 USD,,,,Ethereum,"ETH, BTC, Fiat",,,"14,250,000",USA,,N/A,2.6,2.6,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apollon,APO,Utility,Ended,8/1/2018,8/31/2018,N/A,,,,,,,,,,Malta,,"USA, China, South Korea",3.3,2.9,71%,4,5,4,29%,1,4,,5,,,4,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apollonia,APOLLO,Utility,Unknown,,,N/A,1 APOLLO = 0.03 USD,,Available,,Ethereum,"BTC, ETH, EOS, ONT",,,,UK,,,2.8,2.8,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ApolloX,APXT,Utility,Ended,9/1/2018,10/11/2018,N/A,1 APXT = 0.0055 USD,Available,Available,,Ethereum,"ETH, Fiat",,"4,000,000 USD","14,000,000 USD",Singapore,,"USA, China",4,3.9,20%,4.4,3.9,3.9,80%,12,5,4,4,,5,5,3,5,4,4,5,4,4,3,4,5,,3,,4,2,5,,3,,5,3,0.06,,5,,0.06,5,,,3,,,5,0.05,,,,0.05,,,,0.05,,,,0.05,,,,,,,,,,,,,,,,,,,,
Appay,APY,Utility,Ended,12/1/2017,1/30/2018,N/A,,,,,,,,,,Canada,,,2.1,2.1,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AppCoins,APPC,Utility,Trading,12/13/2017,12/20/2017,"$15,300,000",,,,,,,,,,Singapore,,,3.8,3.8,20%,4.3,3.8,3.4,80%,23,5,4,5,,3,4,5,5,3,5,4,5,4,4,4,5,4,4,4,4,1,3,,4,,4,3,3,,3,,5,3,5,,5,,5,4,0.03,,2,,0.03,3,,,5,,,5,0.02,,4,,0.02,4,,,0.02,,,,0.04,,,,0.04,,,,0.02
APPICS,XAP,Utility,Trading,3/28/2018,4/28/2018,"$4,202,372",,,,,,,,,,Switzerland,,USA,2.8,3.3,70%,3,1,1,30%,1,3,,1,,,1,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apputoken,APPU,Utility,Unknown,,,N/A,,,,,Ethereum,,,,,,,,1.6,1.6,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APRES,APS,Utility,Ended,3/2/2018,12/1/2018,N/A,,,,,,,,,,Germany,,,3.4,3.4,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APX,APX,Utility,Ended,5/1/2017,5/21/2017,"$2,749,185",,,,,,,,,,China,,,0.8,0.7,65%,1,1.2,1,35%,2,1,1,1,,,2,,0.27,1,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQUA,AQX,Utility,Ended,11/25/2018,11/30/2018,N/A,,,,,,,,,,USA,,,2.8,2.8,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iAqua,AQUAX,Utility,Unknown,,,N/A,1 AQUAX = 1.4 AUD,,,,Ethereum,ETH,,,,,,,2.2,2.2,,,,,100%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQUA RIGHTS,AQUA,Utility,Unknown,,,N/A,,,,,Ethereum,,,,,USA,,,1.5,1.5,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aragon,ANT,Utility,Trading,5/17/2017,5/17/2017,"$25,000,000",,,,,,,,,,Spain,,,2.1,1.5,74%,3.9,4.4,3.5,26%,3,2,5,4,,,5,,5,4,,,5,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARAW,ARAW,Utility,Ended,9/10/2018,2/15/2019,N/A,,,,,,,,,,UK,,USA,4.3,4.6,15%,4.5,4.4,3.9,85%,18,5,4,4,,5,5,4,4,5,5,5,4,4,5,5,5,3,5,3,4,3,4,,5,,5,5,5,,4,,4,3,3,,4,,3,3,0.04,,3,,0.04,4,,,4,,,4,0.04,,3,,0.04,3,,,0.04,,,,0.04,,,,0.04,,,,0.03
Arbi,ARBI,Utility,Unknown,,,N/A,1 ARBI = 3.3 USD,,,,Ethereum,ETH,,"1,500,000 USD","10,000,000 USD",Russia,,,2.5,2.3,82%,3,4,4,18%,1,3,,4,,,4,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbidex,ABX,Utility,Ended,1/23/2018,2/28/2018,"$16,239,980",,,,,,,,,,UK,,"USA, China",3.2,3,66%,2.9,3.9,4.3,34%,3,5,1,2,,,4,,3,4,,,3,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbitao,ATAO,Utility,Unknown,,,N/A,1 ATAO = 0.1 USD,,Available,,ATAO,,,,,UK,,"USA, Cuba, Iran, Iraq, Syria or North Korea.",2.1,2.6,71%,1,1,1,29%,1,1,,1,,,1,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbitrage Crypto Trader,ARCT,Utility,Unknown,,,N/A,1 ARCT = 0.0000133333 ETH,,,,Ethereum,,,"1,000 ETH","10,000 ETH",,,,1.5,1.5,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARBITRAGING,ARB Token,Utility,Ended,1/15/2018,4/10/2018,"$6,000,000",,,,,,,,,,Singapore,,,2.9,2.9,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARC Reserve Currency,ARCC,Utility,Ended,12/14/2017,1/14/2018,N/A,,,,,,,,,,Guernsey and  Jersey,,,2.2,2.1,87%,3,3,2,13%,1,3,,3,,,2,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcade City,ARC,Utility,Trading,,,"$635,000",,,,,,,,,,USA,,,1.3,1.5,55%,1,1,1,45%,3,1,1,1,,,1,,1,1,,,1,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcadia,AR2,Utility,Ended,5/1/2018,6/21/2018,N/A,,,,,,,,,,Poland,,,1.8,1.8,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArcadierX (PreICO),ARCX,Utility,37 days 14 hours left,12/14/2018,3/31/2019,N/A,1 ARCX = 0.15 USD,Available,,,Ethereum,"ETH, BTC, Fiat",100 USD,"4,500,000 USD","20,000,000 USD",Singapore,,"USA, Canada, China",4.3,4.3,83%,5,4,4,17%,1,5,,4,,,4,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCALLIA,EEC,Utility,Ended,2/2/2018,3/31/2018,N/A,,,,,,,,,,Estonia,,,3.3,3.3,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcana,ARCA,Utility,Unknown,,,N/A,,,,,Ethereum,"ETH, BTC, Fiat",,"4,000,000 USD","5,000,000 USD",,,,2,2,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcblock,ABT,Utility,Trading,2/3/2018,2/3/2018,"$11,000,000",,,,,,,,,,USA,,,3.2,2.8,76%,4,5,5,24%,1,4,,5,,,5,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArchiCoin,ARCHI,Utility,Unknown,,,N/A,1 ARCHI = 0.02 USD,,,,Ethereum,"ETH, BTC, BCH",30 USD,,"20,000,000 USD",Russia,,,2.9,2.9,76%,3,4,2,24%,1,3,,4,,,2,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcona,ARCONA,Utility,Ended,4/15/2018,7/14/2018,"$3,165,000",,,,,,,,,,Gibraltar,,,4.1,3.9,12%,4.3,4.4,3.8,88%,27,4,4,5,,3,4,4,5,5,5,5,4,4,4,4,4,5,4,3,5,3,5,,3,,4,5,4,,5,,4,4,5,,3,,5,4,0.05,,5,,0.05,4,,,4,,,5,0.02,,3,,0.04,4,,,0.04,,,,0.02,,,,0.04,,,,0.04
Arcus,ARCUS,Utility,Ended,3/1/2018,9/1/2018,N/A,1 ARCUS = 0.01 USD,,,,Waves,"BTC, ETH, Waves, LTC, ZEC, DASH, XMR, USD, EUR, TRY, RUB",,"3,000,000 USD","6,000,000 USD",Russia,,,3.2,3.2,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arena,ARNA,Utility,Trading,8/18/2017,9/4/2017,"$15,342",,,,,,,,,,USA,,,2.3,2.3,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arena Space,ARenaCoin,Utility,Unknown,,,N/A,,,,,Ethereum,ETH,,,"30,350,000 USD",Russia,,,2.8,2.8,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arevalor,ORB Token,Utility,Ended,9/24/2018,10/15/2018,N/A,,,,,,,,,,USA,,,2.4,2.7,71%,2,1,2,29%,1,2,,1,,,2,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARFREYR,FRY,Utility,Ended,9/1/2018,11/30/2018,N/A,1 FRY = 0.025 USD,,Available,,Ethereum,"ETH, BCH",0.1 ETH,"5,000,000 USD","30,000,000 USD",India,,USA,3.2,3.4,54%,2.5,3,3.5,46%,2,3,2,3,,,3,,0.24,4,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARGO Reality,ARGO,Utility,Ended,3/15/2018,4/1/2018,N/A,,,,,,,,,,Belarus,,,3.1,2.9,63%,2.6,4.6,3.2,37%,2,2,3,4,,,5,,0.14,4,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argonium,AGNM,Utility,36 days 16 hours left,2/20/2019,3/30/2019,N/A,1 AGNM = 0.0025 USD,,Available,,Ethereum,,,50 ETH,100 ETH,USA,,,2,2,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argyle,RGL,Utility,Ended,8/27/2018,12/18/2018,N/A,,,,,,,,,,Marshall Islands,,"USA, Japan, South Korea, North Korea",2.7,3.3,75%,1,1,1,25%,1,1,,1,,,1,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arianee,ARIA,Utility,Unknown,,,N/A,1 ARIA = 0.000035 BTC,,,,Ethereum,,,"20,000,000 USD",,France,,USA,2.3,2.3,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AriseBank,ACO,Utility,Trading,12/26/2017,1/27/2018,N/A,,,,,,,,,,USA,,,2.7,2.7,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arium 2.0,XRMT,Utility,37 days 16 hours left,1/11/2019,3/31/2019,N/A,1 XRMT = 0.01 USD,Available,,,Ethereum,"BTC, ETH, XRM",,"5,000,000 USD","100,000,000 USD",Singapore,,"USA, Japan",3.8,3.8,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizn,AALT,Utility,Ended,7/26/2018,9/26/2018,N/A,,,,,,,,,,South Africa,,USA,3.4,3.4,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkadia,AAA,Utility,Unknown,,,N/A,,,,,Ethereum,"ETH, BTC",,,"7,500,000 GBP",UK,,"USA, China, South Korea",2.8,2,70%,4,5,5,30%,1,4,,5,,,5,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
